	text	retweet_count	favorite_count	created_at	
24	#LogrosEnSalud Reglamentación e implementación del uso de derivados del cannabis con fines medicinales y científico… https://t.co/yxO4ofwVOx	4	8	Wed May 16 14:20:10 +0000 2018	
25	Con la nueva app #POSPópuli <f0><U+009F><U+0093><U+00B1><f0><U+009F><U+0093><U+00B1> los colombianos pueden conocer de una manera más fácil y rápida cuáles son los medic… https://t.co/tHiYd7IZn9	6	3	Wed May 16 14:00:32 +0000 2018	
26	"Hoy continuamos con la tercera parte del foro ""Cuéntanos tu experiencia en la gestión del riesgo en salud"" #EnVivo https://t.co/1RCW4BMGYX"	4	7	Wed May 16 13:53:02 +0000 2018	
27	Más recuerdos en familia y menos likes, desconéctate de la red y comparte con los tuyos. . #ElMejorRegalo… https://t.co/1qrMLP5s77	4	2	Wed May 16 13:40:08 +0000 2018	
28	#LogrosEnSalud Reglamentación de la eutanasia: primer país de América Latina https://t.co/8UKmydtNl0 https://t.co/4lBZZgCpRV	8	14	Wed May 16 13:20:11 +0000 2018	
29	Las TIC permiten reducir los tiempos dedicados al trabajo y nos pueden brindar #MásTiempoEnFamilia #ElMejorRegalo https://t.co/kvsVgQaZfn	3	2	Wed May 16 13:00:44 +0000 2018	
30	Programa de #CrecimientoyDesarrollo, #citacontuvidasana. https://t.co/dReYHQcfIm https://t.co/uivHvz8NJN	3	1	Wed May 16 12:40:08 +0000 2018	
31	“Me resisto a perder la ilusión de la paz, de perder ese proyecto de aumentar las capacidades del Estado”:… https://t.co/osL5Da46He	7	14	Wed May 16 02:00:15 +0000 2018	
32	Perder la posibilidad de que el Estado llegue a regiones abandonadas y de que el problema de las drogas sea compren… https://t.co/TMG8AEPf7F	9	19	Wed May 16 01:59:05 +0000 2018	
33	RT @Supersalud: Superintendente @lfcruza participa en la décima Conferencia Regional Científica de  las Américas #TEPHINET2018 en Cartagena…	5	0	Wed May 16 01:29:25 +0000 2018	
34	El viceministro, Luis Fernando Correa, reiteró que es misión de los entes de salud  “promover la seguridad sanitari… https://t.co/EiEUpq49hE	3	4	Wed May 16 01:17:06 +0000 2018	
35	Los epidemiologos de campo han sido claves para organizar la colaboración entre paises y su respuesta ante emergenc… https://t.co/7ejRL7S19Z	6	9	Wed May 16 01:13:27 +0000 2018	
36	"""En 2015 se firmó un acuerdo en Sendai, que es una agenda del sistema de gestión de riesgo hasta 2030. Entre esos a… https://t.co/ACS47flLuk"	3	3	Wed May 16 01:09:39 +0000 2018	
37	Apartes de inauguración de X Conferencia de #TEPHINET2018 por parte de ViceSalud Luis Fernando Correa Serna https://t.co/sWhAV6FR5v	2	2	Wed May 16 01:03:53 +0000 2018	
38	RT @INSColombia: Luis Fernando Correa, viceministro de Salud Pública y Prestación de Servicios, habla de la importancia del trabajo conjunt…	5	0	Wed May 16 00:58:01 +0000 2018	
39	Tom Frieden, ex director del CDC de Atlanta, destacó la labor de los epidemiologos de campo en la región en el marc… https://t.co/SL5zDEFYHA	5	4	Wed May 16 00:55:28 +0000 2018	
40	Esta reunión debe servir para el fortalecimiento de la salud pública de la región: Dionisio Herrera, director de… https://t.co/5AqexcEvLv	8	7	Wed May 16 00:33:51 +0000 2018	
41	"""Que Colombia haya sido elegida como sede de #TEPHINET2018 es una meta cumplida porque es necesario posicionar en e… https://t.co/hFUwx6cKOE"	15	23	Wed May 16 00:21:13 +0000 2018	
42	RT @INSColombia: Sigue nuestra transmisión especial por Facebook Live de la 10 Conferencia Internacional de Epidemiología de Campo #Tephine…	11	0	Wed May 16 00:13:11 +0000 2018	
43	ViceSalud Luis Fernando Correa Serna presente en inauguración de la décima Conferencia Regional Científica de las A… https://t.co/BewIhkjMGn	9	17	Wed May 16 00:11:45 +0000 2018	
44	Las vacunas del esquema nacional de vacunación, son gratis para todos los niños menores de 6 años de edad.… https://t.co/wCcu65urwo	3	4	Tue May 15 22:20:07 +0000 2018	
45	La vacunación es la mejor forma de prevenir enfermedades graves. #RefuerzaTusDefensas  https://t.co/AaTjVgQAST https://t.co/oZw5qqywIl	3	1	Tue May 15 21:40:07 +0000 2018	
46	Siete recomendaciones para pacientes con asma. #ControlaElAsma. https://t.co/ey9bMTqI1Q Tómate la vida con un segun… https://t.co/xE50qZAtff	2	5	Tue May 15 21:00:50 +0000 2018	
47	RT @INSColombia: Directora @INSColombia, Marta Ospina, menciona que investigadores “compartirán sus experiencias en intervención de epidemi…	12	0	Tue May 15 21:00:10 +0000 2018	
48	El sexting no es un juego, es una actividad que puede terminar en abusos y explotación sexual de niños, niñas y ado… https://t.co/sBDG6ekys2	7	7	Tue May 15 20:40:10 +0000 2018	
49	El #sarampión es una enfermedad causada por un virus, es muy contagiosa y <U+200B><U+200B>se transmite de persona a persona al in… https://t.co/Q4wWqB4tTV	4	4	Tue May 15 20:20:10 +0000 2018	
50	Tener confianza con tus hijos puede ayudarte a solucionar las situaciones de riesgo que se generen a través de Inte… https://t.co/MKkqrKVKQo	1	4	Tue May 15 20:00:43 +0000 2018	
51	#LogrosEnSalud Reglamentación de la eutanasia: primer país de América Latina https://t.co/8UKmydtNl0 https://t.co/4lBZZgCpRV	1	1	Tue May 15 19:40:08 +0000 2018	
52	Las TIC permiten reducir los tiempos dedicados al trabajo y nos pueden brindar #MásTiempoEnFamilia #ElMejorRegalo https://t.co/kvsVgQaZfn	6	10	Tue May 15 19:20:09 +0000 2018	
53	Programa de #CrecimientoyDesarrollo, #citacontuvidasana. https://t.co/dReYHQcfIm https://t.co/uivHvz8NJN	8	2	Tue May 15 18:20:12 +0000 2018	
54	De esta forma puedes supervisar y tener un mayor control sobre el uso que hacen de la red y con qué personas se com… https://t.co/PxAWQsaCeq	1	2	Tue May 15 18:00:51 +0000 2018	
55	Los retos de nuestro sistema de salud en son solo diez minutos. por: @agaviriau   https://t.co/AMda6GXh8j	1	2	Tue May 15 17:40:12 +0000 2018	
56	Con la nueva app #POSPópuli <f0><U+009F><U+0093><U+00B1><f0><U+009F><U+0093><U+00B1> los colombianos pueden conocer de una manera más fácil y rápida cuáles son los medic… https://t.co/AEytbAS3On	4	2	Tue May 15 17:20:12 +0000 2018	
57	#SaludParaLaPaz: fortaleciendo comunidades. La salud, como constructora de paz en el marco de los acuerdos. https://t.co/IXVQUhwsg4	6	1	Tue May 15 17:01:02 +0000 2018	
58	"""Tenemos muchos avances pero hay que fortalecer programas como Más Familias en Acción o la política De Cero a Siemp… https://t.co/5fm4QL76xo"	2	3	Tue May 15 16:47:55 +0000 2018	
59	Ministerio de Salud y Protección Social firma compromiso institucional y social por las familias en el Día Nacional… https://t.co/bkZIMzrFZg	2	3	Tue May 15 16:44:32 +0000 2018	
60	#TemporadaDeLluvias Tenga en cuenta estas precauciones para protegerse de las enfermedades respiratorias… https://t.co/IXQd4izUXg	18	9	Tue May 15 16:40:11 +0000 2018	
61	Las EPS deberán hacer ajustes en su funcionamiento para cumplir con las condiciones de habilitación y permanencia.… https://t.co/fMbqlU4sOa	6	3	Tue May 15 16:20:12 +0000 2018	
62	Las redes sociales nos acercan, pero también nos pueden alejar, disfruta #ElMejorRegalo #MásTiempoEnFamilia. https://t.co/7BSN3abdpj	5	3	Tue May 15 16:00:51 +0000 2018	
63	RT @karenabudi: Hoy junto a @CGR_Colombia, @MinsaludCol, @FNDCol y @UNICEFColombia lanzamos nuestra estrategia #FamiliasConDerechos para co…	20	0	Tue May 15 15:41:38 +0000 2018	
64	#LogrosEnSalud Avances en la afiliación: menores de 25 años pueden ser beneficiarios de sus padres (estudiando o no… https://t.co/UmXR5kB6NM	3	3	Tue May 15 15:40:12 +0000 2018	
65	Ilumine y ventile su vivienda para prevenir #EnfermedadesRespiratorias #TemporadaDeLluvias https://t.co/OFBDcXIvgZ https://t.co/bwlcruU1If	8	1	Tue May 15 15:20:13 +0000 2018	
66	"""La celebración del Día Nacional de las Familias es el escenario propicio para la gestión territorial y de estado,… https://t.co/CWyYBmtv7z"	8	6	Tue May 15 15:20:08 +0000 2018	
67	RT @ICBFColombia: Hoy junto con @MinSaludCol, @CGR_Colombia y @FNDCol haremos el lanzamiento de la estrategia #FamiliasConDerechos  https:/…	21	0	Tue May 15 15:17:31 +0000 2018	
68	Tómate la vida con un segundo aire. Consulta a los servicios de salud ante la sospecha o síntomas de asma, para así… https://t.co/aF4s1QnX2P	4	3	Tue May 15 15:00:44 +0000 2018	
69	#UnProfeEspecial es el que ayuda a cambiar la vida de miles de personas que pasaron por sus clases. Feliz… https://t.co/9DXQU8DZvp	2	8	Tue May 15 14:42:05 +0000 2018	
70	Más recuerdos en familia y menos likes, desconéctate de la red y comparte con los tuyos. . #ElMejorRegalo… https://t.co/voVUysBxrQ	4	8	Tue May 15 14:40:11 +0000 2018	
71	#LogrosEnSalud Reglamentación e implementación del uso de derivados del cannabis con fines medicinales y científico… https://t.co/8Z8h9uZBN7	2	1	Tue May 15 14:20:13 +0000 2018	
72	Conéctate con los tuyos y colecciona más momentos en familia. #ElMejorRegalo #MásTiempoEnFamilia https://t.co/LSEIp80U87	2	2	Tue May 15 14:00:50 +0000 2018	
73	#LogrosEnSalud Mayores impuestos al tabaco y liderazgo en debate de impuestos a bebidas azucaradas.… https://t.co/0KfNUUQ9Xb	7	1	Tue May 15 13:40:12 +0000 2018	
74	Internet nos acerca y nos facilita la vida si lo usamos responsablemente. No cambies #MásTiempoEnFamilia por memes… https://t.co/Ko3uZS8maz	4	4	Tue May 15 13:00:36 +0000 2018	
75	Regalías aliviarán deudas de la salud. https://t.co/Nsm6HaUkLn https://t.co/br9kUcSDMJ	5	3	Tue May 15 12:40:12 +0000 2018	
76	#LogrosEnSalud Defensa de los derechos de la mujer y de la interrupción voluntaria del embarazo.… https://t.co/Y0WR40aHk6	5	2	Tue May 15 12:20:12 +0000 2018	
77	RT @belindagarciaj: GRACIAS a una donación de órganos RENACÍ, hoy estoy VIVA y puedo volver a sonreír!Fui transplantada hace 5 años de híga…	23	0	Tue May 15 02:49:55 +0000 2018	
78	RT @invimacolombia: #ConsumoSeguro https://t.co/7RVZbyRNZY	14	0	Tue May 15 02:27:50 +0000 2018	
79	#LogrosEnSalud Mayores impuestos al tabaco y liderazgo en debate de impuestos a bebidas azucaradas.… https://t.co/9OUkK7AICg	9	6	Tue May 15 01:01:49 +0000 2018	
80	#LogrosEnSalud Defensa de los derechos de la mujer y de la interrupción voluntaria del embarazo.… https://t.co/4byLWBTDrj	4	2	Tue May 15 00:57:34 +0000 2018	
81	#LogrosEnSalud  Reglamentación e implementación del uso de derivados del cannabis con fines medicinales y científic… https://t.co/Rcxh0RCnIV	4	6	Tue May 15 00:56:08 +0000 2018	
82	Las vacunas del esquema nacional de vacunación, son gratis para todos los niños menores de 6 años de edad.… https://t.co/soPyJhUMGT	11	11	Mon May 14 22:20:07 +0000 2018	
83	Regalías aliviarán deudas de la salud. https://t.co/Nsm6HaUkLn https://t.co/br9kUcSDMJ	2	6	Mon May 14 22:00:47 +0000 2018	
84	La vacunación es la mejor forma de prevenir enfermedades graves. #RefuerzaTusDefensas  https://t.co/AaTjVgQAST https://t.co/oZw5qqywIl	5	5	Mon May 14 21:40:06 +0000 2018	
85	Siete recomendaciones para pacientes con asma. #ControlaElAsma. https://t.co/ey9bMTqI1Q Tómate la vida con un segun… https://t.co/2JTOwqHno1	4	5	Mon May 14 21:00:48 +0000 2018	
86	El sexting no es un juego, es una actividad que puede terminar en abusos y explotación sexual de niños, niñas y ado… https://t.co/Smyel59Jwo	8	10	Mon May 14 20:40:09 +0000 2018	
87	El #sarampión es una enfermedad causada por un virus, es muy contagiosa y <U+200B><U+200B>se transmite de persona a persona al in… https://t.co/7ZEWHKrMaX	14	6	Mon May 14 20:20:09 +0000 2018	
88	Tener confianza con tus hijos puede ayudarte a solucionar las situaciones de riesgo que se generen a través de Inte… https://t.co/eWiTxhAMTx	5	4	Mon May 14 20:00:54 +0000 2018	
89	#LogrosEnSalud Reglamentación de la eutanasia: primer país de América Latina https://t.co/8UKmydtNl0 https://t.co/4lBZZgCpRV	10	16	Mon May 14 19:40:09 +0000 2018	
90	Las TIC permiten reducir los tiempos dedicados al trabajo y nos pueden brindar #MásTiempoEnFamilia #ElMejorRegalo https://t.co/kvsVgQaZfn	5	1	Mon May 14 19:20:11 +0000 2018	
91	Programa de #CrecimientoyDesarrollo, #citacontuvidasana. https://t.co/dReYHQcfIm https://t.co/uivHvz8NJN	4	9	Mon May 14 18:20:11 +0000 2018	
92	De esta forma puedes supervisar y tener un mayor control sobre el uso que hacen de la red y con qué personas se com… https://t.co/03hp4QZfec	2	2	Mon May 14 18:00:51 +0000 2018	
93	Los retos de nuestro sistema de salud en son solo diez minutos. por: @agaviriau   https://t.co/AMda6GXh8j	13	15	Mon May 14 17:40:10 +0000 2018	
94	Las redes sociales nos acercan, pero también nos pueden alejar, disfruta #ElMejorRegalo #MásTiempoEnFamilia. https://t.co/VLVBUPwa2V	1	0	Mon May 14 17:21:05 +0000 2018	
95	Con la nueva app #POSPópuli <f0><U+009F><U+0093><U+00B1><f0><U+009F><U+0093><U+00B1> los colombianos pueden conocer de una manera más fácil y rápida cuáles son los medic… https://t.co/eTTtH8qyMn	8	5	Mon May 14 17:20:12 +0000 2018	
96	#SaludParaLaPaz: fortaleciendo comunidades. La salud, como constructora de paz en el marco de los acuerdos. https://t.co/IXVQUhwsg4	3	3	Mon May 14 17:00:56 +0000 2018	
97	#TemporadaDeLluvias Tenga en cuenta estas precauciones para protegerse de las enfermedades respiratorias… https://t.co/ibxV1oXmeU	4	5	Mon May 14 16:40:11 +0000 2018	
98	La donación de órganos es un acto de generosidad #DéjaloConversado #Gracias | El Heraldo https://t.co/vMkcWkOMn8 vía @elheraldoco	20	30	Mon May 14 16:24:25 +0000 2018	
99	Las EPS deberán hacer ajustes en su funcionamiento para cumplir con las condiciones de habilitación y permanencia.… https://t.co/JfBRynJsUj	6	5	Mon May 14 16:20:12 +0000 2018	
100	Las redes sociales nos acercan, pero también nos pueden alejar, disfruta #ElMejorRegalo #MásTiempoEnFamilia. https://t.co/7BSN3abdpj	4	5	Mon May 14 16:00:39 +0000 2018	
101	#LogrosEnSalud Avances en la afiliación: menores de 25 años pueden ser beneficiarios de sus padres (estudiando o no… https://t.co/7r1PfO652P	3	5	Mon May 14 15:40:12 +0000 2018	
103	Ilumine y ventile su vivienda para prevenir #EnfermedadesRespiratorias #TemporadaDeLluvias https://t.co/OFBDcXIvgZ https://t.co/bwlcruU1If	5	3	Mon May 14 15:20:12 +0000 2018	
104	Tómate la vida con un segundo aire. Consulta a los servicios de salud ante la sospecha o síntomas de asma, para así… https://t.co/Zg3OGT4VDm	2	1	Mon May 14 15:00:40 +0000 2018	
105	Más recuerdos en familia y menos likes, desconéctate de la red y comparte con los tuyos. . #ElMejorRegalo… https://t.co/3EUVxQJNwr	6	3	Mon May 14 14:40:12 +0000 2018	
106	El gerente de la frontera, @felipemgomez8, reconoce la labor del @MinSaludCol y del @INSColombia en el manejo del r… https://t.co/rxMkHRdH6j	8	15	Mon May 14 14:06:11 +0000 2018	
107	Conéctate con los tuyos y colecciona más momentos en familia. #ElMejorRegalo #MásTiempoEnFamilia https://t.co/LSEIp80U87	3	1	Mon May 14 14:00:34 +0000 2018	
108	RT @agaviriau: Salud de la mujer https://t.co/NYNsUm39GZ	6	5	Mon May 14 13:40:11 +0000 2018	
109	Este martes, lanzamiento: “Familias con Derechos” una estrategia de @ICBFColombia @MinSaludCol @FNDCol… https://t.co/CZJcnAniAP	8	7	Mon May 14 13:20:11 +0000 2018	
110	Internet nos acerca y nos facilita la vida si lo usamos responsablemente. No cambies #MásTiempoEnFamilia por memes… https://t.co/iH71rlqNHP	16	12	Mon May 14 13:00:30 +0000 2018	
111	RT @infopresidencia: Conmemoramos este #DíaDeLaMadre destacando la valentía, perseverancia y amor incondicional de las mujeres que nos dier…	35	0	Sun May 13 14:59:57 +0000 2018	
112	RT @agaviriau: La política farmacéutica de Colombia es un ejemplo para la región https://t.co/V4Ysos1mrS	128	0	Sun May 13 14:50:36 +0000 2018	
113	Este martes todos invitados al lanzamiento: “Familias con Derechos” una estrategia de @ICBFColombia @MinSaludCol… https://t.co/29UXKvPt2p	4	2	Sun May 13 14:20:11 +0000 2018	
114	Por su compromiso social y aporte al cuidado de la salud el Ministerio de Salud reconoce la labor de los 61.954 pro… https://t.co/HM1XWbmalq	29	53	Sat May 12 22:45:02 +0000 2018	
115	RT @castellanosfj: Enfermería: una voz para liderar la salud como derecho humano https://t.co/EwrYAnNpuf	25	0	Sat May 12 22:18:19 +0000 2018	
116	@conectapuntos Aunque no existe regulación específica, por lo complejo del tema, el ministerio recomienda cursos por lo menos de 40 horas.	0	1	Sat May 12 22:17:40 +0000 2018	
117	@conectapuntos En el siguiente enlace, podrá consultar toda la información, guías y protocolos para el abordaje int… https://t.co/RUGQV31qaV	0	0	Sat May 12 19:03:34 +0000 2018	
118	Las TIC permiten reducir los tiempos dedicados al trabajo y nos pueden brindar #MásTiempoEnFamilia #ElMejorRegalo https://t.co/kvsVgQaZfn	9	8	Sat May 12 17:40:06 +0000 2018	
119	RT @gomezcarolina: En Colombia también queremos una de estas “fábricas”. Alianza entre @INCancerologia @MinSaludCol y @colombiacompra, con…	28	0	Sat May 12 16:58:15 +0000 2018	
120	Conéctate con los tuyos y colecciona más momentos en familia. #ElMejorRegalo #MásTiempoEnFamilia https://t.co/LSEIp80U87	5	6	Sat May 12 16:45:00 +0000 2018	
121	Internet nos acerca y nos facilita la vida si lo usamos responsablemente. No cambies #MásTiempoEnFamilia por memes… https://t.co/5GKDf4bgA3	7	8	Sat May 12 16:30:21 +0000 2018	
122	Más recuerdos en familia y menos likes, desconéctate de la red  y comparte con los tuyos. . #ElMejorRegalo… https://t.co/PObMIAP7Wu	7	7	Sat May 12 16:05:11 +0000 2018	
123	RT @agaviriau: Salud de la mujer https://t.co/8LP47hwOSq	48	0	Sat May 12 15:51:39 +0000 2018	
124	Las redes sociales nos acercan, pero también nos pueden alejar, disfruta #ElMejorRegalo #MásTiempoEnFamilia. https://t.co/7BSN3abdpj	4	4	Sat May 12 15:42:26 +0000 2018	
125	RT @MinSaludCol: Las vacunas del esquema nacional de vacunación, son gratis para todos los niños menores de 6 años de edad. #VacunasAldía h…	9	0	Sat May 12 15:30:07 +0000 2018	
127	RT @MinSaludCol: #SaludParaLaPaz: fortaleciendo comunidades. La salud, como constructora de paz en el marco de los acuerdos. https://t.co/I…	11	0	Sat May 12 15:28:12 +0000 2018	
128	RT @MinSaludCol: Programa de #CrecimientoyDesarrollo, #citacontuvidasana. https://t.co/dReYHQcfIm https://t.co/uivHvz8NJN	54	0	Sat May 12 14:11:00 +0000 2018	
129	Con el fin de analizar la disponibilidad y accesibilidad de los medicamentos opioides, el Fondo Nacional de Estupef… https://t.co/qaCTmhWjRB	6	14	Fri May 11 21:25:43 +0000 2018	
130	#LogrosEnSalud Avances en la afiliación: menores de 25 años pueden ser beneficiarios de sus padres (estudiando o no… https://t.co/XTT3iXFkXp	2	6	Fri May 11 21:20:07 +0000 2018	
131	Siete recomendaciones para pacientes con asma. #ControlaElAsma. https://t.co/ey9bMTqI1Q Tómate la vida con un segun… https://t.co/xktweWWKCD	1	3	Fri May 11 21:00:36 +0000 2018	
132	El sexting no es un juego, es una actividad que puede terminar en abusos y explotación sexual de niños, niñas y ado… https://t.co/XlId3BvlMu	12	8	Fri May 11 20:40:09 +0000 2018	
133	El #sarampión es una enfermedad causada por un virus, es muy contagiosa y <U+200B><U+200B>se transmite de persona a persona al in… https://t.co/H8coLfx8Q5	3	1	Fri May 11 20:20:09 +0000 2018	
134	RT @INCancerologia: ¡Feliz #DíadelaEnfermería! gracias por su entrega constante en el cuidado y bienestar de los #pacientes.  <f0><U+009F><U+008F><U+00A5> <f0><U+009F><U+0091><U+008F> <f0><U+009F><U+0091><U+008F> #salud…	29	0	Fri May 11 20:13:15 +0000 2018	
135	Tener confianza con tus hijos puede ayudarte a solucionar las situaciones de riesgo que se generen a través de Inte… https://t.co/FeYaHqh3kE	2	5	Fri May 11 20:00:42 +0000 2018	
136	Donar órganos es dar la oportunidad a alguien de vivir o de mejorar su calidad de vida. ¿Cuánto sabes sobre la dona… https://t.co/aoh52UOboA	10	12	Fri May 11 19:40:12 +0000 2018	
137	De esta forma puedes supervisar y tener un mayor control sobre el uso que hacen de la red y con qué personas se com… https://t.co/JTfy2xrlQ2	3	4	Fri May 11 19:20:10 +0000 2018	
138	Los retos de nuestro sistema de salud en son solo diez minutos. por: @agaviriau   https://t.co/AMda6GXh8j	7	12	Fri May 11 19:00:39 +0000 2018	
139	Con la nueva app #POSPópuli <f0><U+009F><U+0093><U+00B1><f0><U+009F><U+0093><U+00B1> los colombianos pueden conocer de una manera más fácil y rápida cuáles son los medic… https://t.co/2I0xroiRCq	11	17	Fri May 11 18:40:09 +0000 2018	
140	RT @MinSaludCol: Por su compromiso social y aporte al cuidado de la salud, @MinSaludCol reconoce la labor de los 61.954 profesionales que e…	62	0	Fri May 11 17:23:06 +0000 2018	
141	#LogrosEnSalud Reglamentación de la eutanasia: primer país de América Latina https://t.co/8UKmydtNl0 https://t.co/4lBZZgCpRV	3	8	Fri May 11 17:20:12 +0000 2018	
142	#SaludParaLaPaz: fortaleciendo comunidades. La salud, como constructora de paz en el marco de los acuerdos. https://t.co/IXVQUhwsg4	1	0	Fri May 11 17:00:44 +0000 2018	
143	#TemporadaDeLluvias Tenga en cuenta estas precauciones para protegerse de las enfermedades respiratorias… https://t.co/uvR7s9qwa4	26	0	Fri May 11 16:40:11 +0000 2018	
144	Las EPS deberán hacer ajustes en su funcionamiento para cumplir con las condiciones de habilitación y permanencia.… https://t.co/Xq7EuBBVtb	19	17	Fri May 11 16:20:13 +0000 2018	
145	Avances en transparencia con la creación de #Mipres y en controles efectivos con la creación de @AdresCol y la habi… https://t.co/znjl5HI9DD	4	0	Fri May 11 16:00:36 +0000 2018	
146	Regalías aliviarán deudas de la salud. https://t.co/Nsm6HaUkLn https://t.co/br9kUcSDMJ	8	5	Fri May 11 15:40:13 +0000 2018	
147	Ilumine y ventile su vivienda para prevenir #EnfermedadesRespiratorias #TemporadaDeLluvias https://t.co/OFBDcXIvgZ https://t.co/bwlcruU1If	29	0	Fri May 11 15:20:13 +0000 2018	
148	RT @Supersalud: Se acerca el #DiaDeLaMadre y queremos compartir estos consejos saludables para ellas. <f0><U+009F><U+0099><U+008B><U+200D><U+2640><U+FE0F><f0><U+009F><U+0099><U+0086><U+200D><U+2640><U+FE0F> https://t.co/mSfm502ZHD	35	0	Fri May 11 15:11:46 +0000 2018	
149	Tómate la vida con un segundo aire. Consulta a los servicios de salud ante la sospecha o síntomas de asma, para así… https://t.co/VOUJIS3xzT	5	3	Fri May 11 15:00:44 +0000 2018	
150	#LogrosEnSalud Saneamiento de deudas y depuración de EPS que implicó líquidación de EPS inoperantes y cuestionadas.… https://t.co/ZsgthhfKzR	4	4	Fri May 11 14:40:12 +0000 2018	
151	Por su compromiso social y aporte al cuidado de la salud, @MinSaludCol reconoce la labor de los 61.954 profesionale… https://t.co/xRLOF8XUq8	62	88	Fri May 11 14:37:02 +0000 2018	
152	Las vacunas del esquema nacional de vacunación, son gratis para todos los niños menores de 6 años de edad.… https://t.co/D8fF2OFc2Y	2	1	Fri May 11 14:20:13 +0000 2018	
153	Estudio de revisión más grande que se ha realizado hasta el momento sobre la vacuna contra el virus del papiloma (V… https://t.co/vgQldXRr6E	35	22	Fri May 11 14:00:45 +0000 2018	
