text	retweet_count
Profesionales que no desisten a  la hora de prestar un mejor servicio, de regalar una sonrisa y de buscar solucione… https://t.co/xdKP1T7GnY	2
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Cerca de 20 mil colaboradores relataron su día a día para salvar vidas #HechosDeCorazón <f0><U+009F><U+0092><U+0093> @sectorsalud… https://t.co/tQnUlwcEUH	2
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
.@SectorSalud reconoce a sus colaboradores el trabajo, dedicación y constancia para contribuir en la calidad de vid… https://t.co/sI6J9qFjRc	2
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#RespiraSinIRA ¡Cuidado! Si tu hijo menor de 5 años tiene estos síntomas, debes llevarlo al médico de inmediato https://t.co/CW64oAn6cx	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @IDCBIS: El Banco Público de Sangre de Cordón Umbilical @IDCBIS suministra la sexta unidad para trasplante de células madre hematopoyéti…	6
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @luismorales0621: Otra vida más salvada lo que nos llena de alegría, gracias a la voluntad del alcalde Peñalosa de colocar la salud de l…	8
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
El reconocimiento #CorazónImparable <f0><U+009F><U+0092><U+0093>  A los colaboradores que son líderes por naturaleza, quienes ven en los probl… https://t.co/dArvutkKVA	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#RespiraSinIRA ¡Cuidado! Si tu hijo menor de 5 años tiene estos síntomas, debes llevarlo al médico de inmediato https://t.co/OJjjcnmMv2	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy entregaremos el reconocimiento #CorazónValiente <f0><U+009F><U+0092><U+0093> a los colaboradores que no se detienen ante nada para salvar… https://t.co/VHn8Dftr7T	1
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#RespiraSinIRA ¿Sabes cómo prevenir que a tu hijo menor de 5 años lo afecte una infección respiratoria? https://t.co/qpRRkd7Fbn	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy entregaremos el reconocimiento #CorazónInnovador <f0><U+009F><U+0092><U+0093> A los colaboradores que siempre buscan formas nuevas de reso… https://t.co/psw2c8U7HT	2
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Ya son 20 Centros de Atención Prioritaria en Salud que están funcionando en Bogotá y vamos por más. #CAPSParaTodos https://t.co/Yw1yCISAC2	1
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#RespiraSinIRA ¿Sabes cómo prevenir que a tu hijo menor de 5 años lo afecte una infección respiratoria? https://t.co/YZwHki5AhI	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @luismorales0621: Gracias a usted Alcalde por hacer de la salud de los más pobres y vulnerables de Bogotá una prioridad de su administra…	8
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy entregaremos el reconocimiento #CorazónAmable <f0><U+009F><U+0092><U+0093> A los colaboradores que siempre tienen una mano cálida, unos br… https://t.co/Ec80TyMvFd	1
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @GobiernoBTA: Cerca de 20 mil colaboradores relataron su día a día para salvar vidas #HechosDeCorazón <f0><U+009F><U+0092><U+0093> @sectorsalud @SubredCentroOri @S…	3
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @EnriquePenalosa: Hoy reconocemos el esfuerzo y dedicación de nuestros colaboradores del sector salud, que le ponen el corazón a lo que…	33
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
El reconocimiento #CorazónImparable <f0><U+009F><U+0092><U+0093>  A los colaboradores que son líderes por naturaleza, quienes ven en los probl… https://t.co/MJ5LnXiBgn	1
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy entregaremos el reconocimiento #CorazónValiente <f0><U+009F><U+0092><U+0093> a los colaboradores que no se detienen ante nada para salvar… https://t.co/vRof0Uag73	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy entregaremos el reconocimiento #CorazónInnovador <f0><U+009F><U+0092><U+0093> A los colaboradores que siempre buscan formas nuevas de reso… https://t.co/Erb6aWqWtY	2
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy entregaremos el reconocimiento #CorazónAmable <f0><U+009F><U+0092><U+0093> A los colaboradores que siempre tienen una mano cálida, unos br… https://t.co/RSofWbvOQw	1
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#RespiraSinIRA Para que no te contagies con una infección respiratoria ten en cuenta estas recomendaciones https://t.co/XcXQXUcLDG	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy entregaremos el reconocimiento #CorazónAnónimo <f0><U+009F><U+0092><U+0093> A los colaboradores que por su labor, dedicación y esfuerzo ha… https://t.co/kYk6wObocL	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#RespiraSinIRA Aplica estás prácticas para evitar la proliferación de enfermedades respiratorias. Consulta más info… https://t.co/YO6IHvhnp3	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#RespiraSinIRA ¿Cuántas veces al día te lavas las manos?  Aprende a hacerlo de manera correcta en https://t.co/lNxvFO1N9l	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy entregaremos el reconocimiento #CorazónATodaUnaVida <f0><U+009F><U+0092><U+0093> A los colaboradores que han dedicado más de 25 años de se… https://t.co/R5rg60VDJQ	1
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Reconocimientos #HechosDeCorazón <f0><U+009F><U+0092><U+0093>  contaron con un jurado de lujo, conformado por 15 personas, vinculadas a la aca… https://t.co/QfQKV3aCUS	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy, desde el Teatro Roberto Arias Pérez entregaremos el Reconocimiento #HechosDeCorazón <f0><U+009F><U+0092><U+0093> puedes seguir la transmi… https://t.co/ZDW6cuivYF	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Reconocimientos #HechosDeCorazón <f0><U+009F><U+0092><U+0093> valoran el trabajo a través de 6 categorías a todos los colaboradores del sector… https://t.co/YSyM512mwi	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Profesionales que no desisten a  la hora de prestar un mejor servicio, de regalar una sonrisa y de buscar solucione… https://t.co/W3yxvPpcst	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Cerca de 20 mil colaboradores relataron su día a día para salvar vidas #HechosDeCorazón <f0><U+009F><U+0092><U+0093> @sectorsalud… https://t.co/ybf6SEjWGX	5
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
.@SectorSalud reconoce a sus colaboradores el trabajo, dedicación y constancia para contribuir en la calidad de vid… https://t.co/iDIQTaFfFn	1
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @asumapaz: erca de 20 mil colaboradores relataron su día a día para salvar vidas #HechosDeCorazón <f0><U+009F><U+0092><U+0093> @sectorsalud @SubredCentroOri @Subre…	2
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @ServicioCivilD: .@SectorSalud reconoce a sus colaboradores el trabajo, dedicación y constancia para contribuir en la calidad de vida de…	2
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#QueOrgullo ¡#HechosDeCorazón! Un reconocimiento al trabajo de los colaboradores del sector público de la salud de… https://t.co/paX1yKqlWa	3
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy entregaremos el reconocimiento #CorazónATodaUnaVida <f0><U+009F><U+0092><U+0093> A los colaboradores que han dedicado más de 25 años de se… https://t.co/mCwaZCnZJh	1
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy entregaremos el reconocimiento #CorazónValiente <f0><U+009F><U+0092><U+0093> a los colaboradores que no se detienen ante nada para salvar… https://t.co/zXW5Zull6g	2
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @SubRedNorte: <f0><U+009F><U+008E><U+0089><f0><U+009F><U+0099><U+0082>En #MiSubRedNorte, a través de las acciones de intervención en Salud Pública, seguimos llegando a cada una de las famili…	2
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @SubRedSurOcci: #DonaLecheMarterna Invitamos a la comunidad a  participar en la donatón de frascos de vidrio que se utilizarán para el a…	2
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @SubRedSurOcci: Mil gracias a nuestros brigadistas de la @USSOKENNEDY <f0><U+009F><U+0091><U+008F><f0><U+009F><U+0099><U+0082> quienes voluntariamente demuestran su vocación de servicio al c…	2
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @SubRedSurOcci: La  humanización un asunto ético relacionado con los valores que conducen nuestra conducta durante la prestación del ser…	3
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @SubRedSurOcci: #DonaLecheMaterna #Hoy el equipo del Banco de Leche Humana @USSOKENNEDY  visita las diferentes Unidades de Servicios de…	2
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy, desde el Teatro Roberto Arias Pérez entregaremos el Reconocimiento #HechosDeCorazón <f0><U+009F><U+0092><U+0093> puedes seguir la transmi… https://t.co/xckGftVYRi	1
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Reconocimientos #HechosDeCorazón <f0><U+009F><U+0092><U+0093>  contaron con un jurado de lujo, conformado por 15 personas, vinculadas a la aca… https://t.co/j6hf2Gy8lV	2
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Cerca de 20 mil colaboradores relataron su día a día para salvar vidas #HechosDeCorazón <f0><U+009F><U+0092><U+0093> @sectorsalud… https://t.co/tmtUjAFfUr	2
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @TrendsBogota: #hechosdecorazón es ahora una tendencia en #Bogotã	
	
3	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @JBotanicoBogota: .@SectorSalud reconoce a sus colaboradores el trabajo, dedicación y constancia para contribuir en la calidad de vida d…	2
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @USSSanCristobal: Cerca de 20 mil colaboradores relataron su día a día para salvar vidas #HechosDeCorazón <f0><U+009F><U+0092><U+0093> @sectorsalud @SubredCentroOr…	5
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @Bogota: .@SectorSalud reconoce a sus colaboradores el trabajo, dedicación y constancia para contribuir en la calidad de vida de los bog…	13
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Reconocimientos #HechosDeCorazón <f0><U+009F><U+0092><U+0093> valoran el trabajo a través de 6 categorías a todos los colaboradores del sector… https://t.co/b7qBGgUQ0S	12
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Profesionales que no desisten a  la hora de prestar un mejor servicio, de regalar una sonrisa y de buscar solucione… https://t.co/9Yd9a5biby	14
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @USSSanBlas: .@SectorSalud reconoce a sus colaboradores el trabajo, dedicación y constancia para contribuir en la calidad de vida de los…	6
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Cerca de 20 mil colaboradores relataron su día a día para salvar vidas #HechosDeCorazón <f0><U+009F><U+0092><U+0093> @sectorsalud… https://t.co/sq6nOJWnOd	22
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
.@SectorSalud reconoce a sus colaboradores el trabajo, dedicación y constancia para contribuir en la calidad de vid… https://t.co/HoS4aKvCsG	5
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
En mi parche de amigos pasamos y compartimos tiempo de calidad <f0><U+009F><U+00A4><U+009C><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+00A4><U+009B><f0><U+009F><U+008F><U+00BB> #BogotáLaMejorFamilia https://t.co/U2W3QIIMmz	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#RespiraSinIRA Las infecciones respiratorias agudas son enfermedades que pueden afectar una parte o todo el aparato… https://t.co/3i9K2WDUUM	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
¡En @TransMilenio todos somos una familia <U+2764>!	
" tolerancia y amor juntos <f0><U+009F><U+00A4><U+009D> nos movilizaremos mejor por nu… https://t.co/GkXymwlVkf"""	1
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#RespiraSinIRA Evita la transmisión de infecciones respiratorias agudas. Conoce sus síntomas https://t.co/SSs0XlH6Ig	1
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#RespiraSinIRA Para que no te contagies con una infección respiratoria ten en cuenta estas recomendaciones https://t.co/yrk5YPw0Hz	1
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#RespiraSinIRA Evita que a quien esté a tu lado le dé ira tu estornudo https://t.co/70HGt7r0oW	1
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @Educacionbogota: ¡En este mes decimos #GraciasProfe! Te invitamos a conocer la historia de hombres y mujeres inspiradores que, desde su…	20
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#RespiraSinIRA Consulta al médico si tienes alguno de estos síntomas https://t.co/JjaUDvjt4D	1
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Todos podemos hacer las labores del hogar <f0><U+009F><U+008F><U+00A1>, generando relaciones equitativas <f0><U+009F><U+00A4><U+009D><f0><U+009F><U+008F><U+00BB> tanto en nuestras familias <f0><U+009F><U+0091><U+00AA> como… https://t.co/oIRUxXNjT1	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#RespiraSinIRA ¡Cuidado! Si tu hijo menor de 5 años tiene estos síntomas, debes llevarlo al médico de inmediato https://t.co/uDKhj7ISfh	3
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#RespiraSinIRA  Si tienes más de 60 años, sigue estas recomendaciones  para evitar las infecciones respiratorias https://t.co/pVndQHgKOJ	1
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
¡Atención! En el día del maestro, gobierno de @EnriquePenalosa abre 3 convocatorias con un amplio portafolio de pro… https://t.co/UBO96jO90Z	1
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
¡Reducir el riesgo es nuestra mejor opción! #TemporadaDeLluvias<f0><U+009F><U+008C><U+00A7><U+FE0F><U+2614>	
	
" manten una distancia p… https://t.co/w9gfepUaPU"""	1
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#RespiraSinIRA  Si tienes más de 60 años, sigue estas recomendaciones https://t.co/lj5bGbd8lY	1
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Cuéntanos cómo está conformada tu familia y de qué manera construyen una buena convivencia <f0><U+009F><U+0091><U+0086><f0><U+009F><U+008F><U+00BB> #BogotáLaMejorFamilia https://t.co/llRRRj3xBd	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
En caso de #TormentaEléctrica<U+26C8><U+FE0F> apague o desconecte los equipos electrónicos. En la #TemporadaDeLluvias<f0><U+009F><U+008C><U+00A7><U+FE0F><U+2614> prevenir… https://t.co/2gD89greTS	3
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
En #TemporadaDeLluvias<f0><U+009F><U+008C><U+00A7><U+FE0F><U+2614> conocer el Plan de Contingencia y saber cómo actuar es tarea de todos.	
5	3
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy celebramos a los maestros que inspiran nuevas realidades, que dan cada día lo mejor de sí para que nuestros niñ… https://t.co/LwEu4uIfmM	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#RespiraSinIRA ¡Cuidado! Si tu hijo menor de 5 años tiene estos síntomas, debes llevarlo al médico de inmediato https://t.co/n3RO3J9ug1	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Grigory Méndez, asistente técnico de la Selección Colombia de Fútbol Sub20 te invita a que le metas un gol al saram… https://t.co/p8ScMwded9	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#RespiraSinIRA ¡Cuidado! Si tu hijo menor de 5 años tiene estos síntomas, debes llevarlo al médico de inmediato https://t.co/rGWRRpy2ZV	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#RespiraSinIRA ¿Sabes cómo prevenir que a tu hijo menor de 5 años lo afecte una infección respiratoria? https://t.co/FC9xA3AlsI	1
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#RespiraSinIRA ¿Sabes cómo prevenir que a tu hijo menor de 5 años lo afecte una infección respiratoria? https://t.co/QtTNireVEP	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#BogotaLaMejorFamilia cuando tienes una forma de pensar incluyente sin discriminar <f0><U+009F><U+0091><U+008F><f0><U+009F><U+008F><U+00BB> https://t.co/QXA77cXmjj	3
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#RespiraSinIRA Aplica estás prácticas para evitar la proliferación de enfermedades respiratorias. Consulta más info… https://t.co/5X9jSOv8oj	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#RespiraSinIRA ¿Cuántas veces al día te lavas las manos?  Aprende a hacerlo de manera correcta en… https://t.co/0H5ucNIvAi	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy decimos #GraciasProfe con más y mejores oportunidades para la formación docente: Posgrados, actualización, cual… https://t.co/0XdVsryoPp	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Las familias <f0><U+009F><U+0091><U+00AA> que tejen y protegen construyen momentos que perduran con el tiempo <U+23F0>. En @TransMilenio lo sabemos y… https://t.co/EuNakwcodv	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Nuestros profes son los héroes de las aulas y queremos que toda @Bogota les agradezca por ser referentes de todo or… https://t.co/HQlBnNzQfE	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#BogotáLaMejorFamilia cuando compartimos y vivimos experiencias que aportan y construyen un ambiente sano <U+2764> https://t.co/ymFfbGQWXj	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Tu familia es tu mayor tesoro <f0><U+009F><U+008F><U+0086>. Protégela todos los días. #BogotáLaMejorFamilia https://t.co/PVQcpdRzYS	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
¡#GraciasProfe! Con convocatoria de especialización y maestría 2018, nuestros docentes podrán cursar programas en á… https://t.co/JQ7x25Yn14	1
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Compartir con tu familia es construir felicidad <f0><U+009F><U+0098><U+0084>. #BogotáLaMejorFamilia	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
